CUSTOMER,PhoneNumber, REVENUE ,MOU,DIRECTAS,OVERAGE,ROAM,CHANGEM,CHANGER,DROPVCE,BLCKVCE,UNANSVCE,CUSTCARE,THREEWAY,MOUREC,OUTCALLS,INCALLS,PEAKVCE,OPEAKVCE,DROPBLK,CALLFWDV,CALLWAIT,PHONES,MODELS,EQPDAYS,SETPRC,ProfitMargin,MONTHS,customer service calls,TotalNumTexts,DataUsageGB,CompetitivePackage,NumEmails,MinWebSurfing,MinMusicStreamed,NumPhotoUploadSocialMedia,NumMinStreamVideo,NumMinOnlineGames
1000064,415-382-4657, 206.72 ,2961.25,11.14,1444.75,62.34,203.75,6.88,10,9.33,113.67,0,1.67,871.5,210.67,96.33,732.33,156,19.67,2.33,34.33,10,7,72,399.99, 0.89 ,128,5,49,1657.67,281.13274,88,116,72,16,61,174
1000305,415-371-7191, 296.48 ,307,0,0,0,204,-0.32,1,2.33,24.33,0,0,0,0.33,0,10.67,47.33,3.33,0,0,3,2,539,29.99, 0.67 ,107,1,31,3464.18,385.42855,194,95,94,1,151,144
1000556,415-358-1921, 388.68 ,1642.75,1.49,0,0,0.25,-2.47,9.33,9,70.33,1.33,0,628.93,58.67,14.33,692,124,18.33,0,23,6,5,153,29.99, 1.12 ,137,1,16,3567.48,338.15247,75,53,23,3,171,115
1000687,408-375-9999, 106.03 ,321.5,0.25,2.25,0,-117.5,-13.63,12.67,2.67,19.67,0,0,43.55,8,1,93.33,26,15.33,0,0.67,11,5,97,99.99, 0.55 ,84,1,76,826.38,147.379615,57,53,18,23,30,105
1000850,415-330-6626, 254.45 ,807,0,0,0.26,110,-5.25,13.67,0.33,36,0.33,0.33,221.66,56,30.33,174.67,299,14,0,0.33,4,4,174,29.99, 0.65 ,75,0,17,2463.96,246.81359,178,75,21,29,109,134
1001166,510-391-8027, 305.22 ,967.75,0.25,0,0,445.25,12.25,29.33,13.67,103.67,0,1,328.42,78.33,17.67,201.67,304,43,0,14.33,5,5,332,149.99, 0.95 ,118,0,10,3323.65,396.790875,55,80,99,11,142,48
1001295,510-355-9993, 217.83 ,118.5,0.99,0,0,28.5,-2.75,0.33,3.33,14.33,3.33,0,10.2,11.67,0,29.67,27.67,3.67,0,0,2,2,1196,29.99, 1.23 ,121,3,45,1694.65,285.3556625,65,57,37,9,73,114
1001433,415-329-9001, 197.18 ,216.75,0,0,0,-27.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,164,29.99, 0.35 ,147,1,93,2104.39,339.14831,242,34,43,8,93,45
1001698,408-335-4719, 417.04 ,29.25,0,0,0,-28.25,-2.28,0.33,0,5,1.33,0,0,0,0,7.67,2,0.33,0,0,1,1,1342,0, 1.01 ,117,2,75,4027.1,642.24545,78,111,55,28,180,166
1001971,415-330-8173, 302.05 ,131.5,0,15.25,0,-72.5,-5.34,0,0,9,0.67,0.33,32.19,3.33,3.33,21,18.67,0,0,0.33,3,2,356,29.99, 0.72 ,141,1,107,1771.01,540.6618925,204,116,25,10,78,93
1002587,415-329-6603, 339.88 ,179.25,2.23,2.25,0,-61.25,2.43,2.33,0.33,20.67,0,0,2.93,7.33,1,36.67,4.33,2.67,0,0.33,2,2,1104,29.99, 0.34 ,65,0,81,2600.58,265.10913,151,44,89,25,104,93
1002671,415-344-9403, 406.69 ,85.5,0,0,0.64,40.5,0.84,2.33,0,7.67,0,0,16.65,2,0.67,27.67,8.33,2.33,0,0,4,3,574,59.99, 1.02 ,74,1,56,3228.93,406.68975,129,100,21,6,153,109
1002696,408-363-1107, 424.91 ,803.25,0,100,64.64,-211.25,-92.13,1.33,1.33,12,0,0,211.85,20.67,3.33,102.67,50.67,2.67,0,0,7,4,4,129.99, 1.29 ,168,4,124,3381.57,667.1051675,162,99,66,5,152,80
1003026,510-394-8006, 374.30 ,607.75,0.99,196,0,31.25,36.21,1.33,5,44,0,0,116.42,6.67,2,142,63.33,6.33,0,3,2,2,317,29.99, 0.54 ,95,1,19,2663.52,389.27616,238,117,29,11,122,54
1006554,415-331-3698, 413.95 ,275,2.23,69.25,0.2,-129,-25.67,2,2.33,14.67,0,0,186.89,5.33,1.33,124,26.33,4.33,0,1.67,3,3,324,29.99, 0.71 ,174,0,13,3376.54,591.949215,204,51,75,25,145,141
1003128,415-366-9238, 291.65 ,1095.25,3.47,38.25,0,-733.25,-13.84,1.33,2.67,47.33,4.67,0,318.31,66.33,23,162,101.67,4,0,1.33,2,2,159,29.99, 0.44 ,62,2,88,2709.49,344.149065,193,36,36,6,125,71
1003143,415-351-7269, 315.85 ,17.75,0,0,0,-12.75,-27.45,0.33,0.33,0.67,0,0,2.2,3.67,0.67,6.33,5,0.67,0,0,3,3,134,59.99, 0.72 ,161,1,70,2435.05,407.4448875,154,101,71,22,99,130
1003169,408-350-8884, 99.01 ,622.75,13.12,216.75,4.71,287.25,50.16,8.67,0.33,31,0.67,0.33,155.02,30,8,153.67,89.33,9,0,2,3,3,43,59.99, 0.93 ,85,1,39,574.42,82.179545,91,74,44,13,15,46
1003792,510-386-2923, 365.93 ,2149,0,0,21.55,427,24.57,22.33,4.33,103.67,1.67,0,424.67,70,4.67,388,59.33,26.67,0,11,4,4,32,129.99, 0.61 ,93,3,99,2757.62,387.88739,156,73,88,8,116,83
1056943,415-356-1567, 296.26 ,293.75,0,8,0,-38.75,-2.85,3.33,0,1.33,0,1.33,35.29,13.67,0.33,93.33,44,3.67,0,0,1,1,505,0, 1.26 ,106,2,0,3380.05,468.096725,118,59,61,5,153,152
1057216,415-422-6685, 367.78 ,733.25,0.74,9.25,0.1,-195.25,-3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,396,0, 0.62 ,81,1,0,3288.8,349.391,40,116,74,18,143,59
1057280,408-336-1090, 449.08 ,2027.25,1.49,199,0,-17.25,-4.02,8.67,30,68,1,0.33,816.95,165.67,69.67,263,347.67,38.67,0,8,2,2,214,79.99, 1.29 ,127,2,22,3737.21,606.2590125,96,103,115,24,155,130
1057479,415-343-2095, 270.90 ,484.5,0.99,193.75,19.76,-56.5,-78.88,6.67,9.33,8.33,1.33,0,81.62,11.33,0.33,54.33,24.67,16,0,1,1,1,395,0, 0.31 ,65,1,0,2027.9,354.882275,206,116,108,21,71,158
1057683,408-345-3934, 286.67 ,657.75,1.24,0,0,587.25,-0.03,3.67,34.67,18.33,1,0,49.24,37.33,25.67,103.33,109,38.33,0,0,1,1,332,0, 0.38 ,35,0,0,2343.8,341.13135,96,104,120,21,86,40
